,artists,album_name,track_name,popularity,explicit,danceability,energy,speechiness,instrumentalness,tempo,track_genre,duration(mm:ss),year,title,category,nominee
29,Steven Price,Gravity (Original Motion Picture Soundtrack),Gravity,49,False,No bailable,0.256,0.042,0.979,92.671,british,04:35,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
30,Steven Price,Gravity (Original Motion Picture Soundtrack),Gravity,49,False,No bailable,0.256,0.042,0.979,92.671,british,04:35,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
31,The Him;Georgie Keller,Gravity,Gravity,59,False,Poco bailable,0.868,0.117,9.52e-06,123.839,deep-house,02:30,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
32,The Him;Georgie Keller,Gravity,Gravity,59,False,Poco bailable,0.868,0.117,9.52e-06,123.839,deep-house,02:30,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
33,Monkey Safari;Delhia De France,Love Will Set U Free,Gravity,48,False,Bailable,0.693,0.0412,0.742,125.011,deep-house,05:29,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
34,Monkey Safari;Delhia De France,Love Will Set U Free,Gravity,48,False,Bailable,0.693,0.0412,0.742,125.011,deep-house,05:29,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
35,Metrik,Ex Machina,Gravity,48,False,Poco bailable,0.917,0.0357,0.115,174.045,drum-and-bass,04:30,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
36,Metrik,Ex Machina,Gravity,48,False,Poco bailable,0.917,0.0357,0.115,174.045,drum-and-bass,04:30,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
37,Metrik,Gravity,Gravity,46,False,Poco bailable,0.917,0.0357,0.115,174.045,drum-and-bass,04:30,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
38,Metrik,Gravity,Gravity,46,False,Poco bailable,0.917,0.0357,0.115,174.045,drum-and-bass,04:30,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
39,SLANDER;Subtronics;JT Roach,Gravity,Gravity,55,False,Poco bailable,0.862,0.0999,0.00109,149.939,dub,06:04,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
40,SLANDER;Subtronics;JT Roach,Gravity,Gravity,55,False,Poco bailable,0.862,0.0999,0.00109,149.939,dub,06:04,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
